,orig_index,tweet,tweet_text,clean_tweet
0,149,"RT @BNODesk: 10 towns in northern Italy have been put on a virtual lockdown due to coronavirus, according to local media","10 towns in northern Italy have been put on a virtual lockdown due to coronavirus, according to local media",10 town in northern Italy have be put on virtual lockdown due to coronavirus accord to local medium
1,983,"RT @adamfeuerstein: $125M effort to find #coronavirus drugs started by Gates Foundation, Wellcome, and Mastercard https://t.co/doD3ZRaDGt v…","$125M effort to find #coronavirus drugs started by Gates Foundation, Wellcome, and Mastercard  v",125M effort to find coronavirus drug start by Gates Foundation Wellcome and Mastercard
3,587,"RT @RT_com: 16 million people ordered into quarantine as #Italy struggles to contain the spread of #coronavirus 

https://t.co/q9VTJS9T3K h…","16 million people ordered into quarantine as #Italy struggles to contain the spread of #coronavirus 

 h",16 million people order into quarantine a Italy struggle to contain the spread of coronavirus
4,1071,"RT @UrinatingTree: 2020 ABRIDGED:

- Iran/US tensions at a peak
- Coronavirus ravaging China, probably worse than reported
- Congress in tu…","2020 ABRIDGED:

- Iran/US tensions at a peak
- Coronavirus ravaging China, probably worse than reported
- Congress in tu",2020 ABRIDGED tension at peak Coronavirus ravage China probably bad than report Congress in tu
5,517,"21 people test positive for coronavirus on California cruise ship, out of 46 tested so far https://t.co/dMhXd2l3MN","21 people test positive for coronavirus on California cruise ship, out of 46 tested so far ",21 people test positive for coronavirus on California cruise ship out of 46 test so far
6,1237,"RT @nytimes: A 62-year-old ear, nose and throat specialist became one of the latest victims of the coronavirus outbreak in China on Saturda…","A 62-year-old ear, nose and throat specialist became one of the latest victims of the coronavirus outbreak in China on Saturda",62yearold ear nose and throat specialist become one of the late victim of the coronavirus outbreak in China on Saturda
7,470,"ABC News: 'Getting harder to contain': Sydney school shut down after student infected with coronavirus.
https://t.co/mK2Cg1XXIE","ABC News: 'Getting harder to contain': Sydney school shut down after student infected with coronavirus.
",ABC News harder to contain Sydney school shut down after student infect with coronavirus
11,125,"RT @CityNews: According to a new poll, 69 per cent of Canadians believe that Canadian officials have dealt with coronavirus in a ""prudent a…","According to a new poll, 69 per cent of Canadians believe that Canadian officials have dealt with coronavirus in a ""prudent a",According to new poll 69 per cent of Canadians believe that Canadian official have dealt with coronavirus in prudent
14,978,RT @WR_Record: Acting Medical Officer of Health for Waterloo Region talks about managing coronavirus in the area https://t.co/GDoMeQWhoa,Acting Medical Officer of Health for Waterloo Region talks about managing coronavirus in the area ,Acting Medical Officer of Health for Waterloo Region talk about manage coronavirus in the area
16,361,RT @SCMirror: Advocates want plan to prevent coronavirus spread in Toronto shelters. https://t.co/5tM6WhH3Fp #TOpoli #homelessness #coronav…,Advocates want plan to prevent coronavirus spread in Toronto shelters.  #TOpoli #homelessness #coronav,Advocates want plan to prevent coronavirus spread in Toronto shelter TOpoli homelessness coronav
