,index,Is_Unreliable,Category,Tweet,clean_tweet
0,239,0,,17 currently under investigation as of 10:30 am Feb 19th for #coronavirus in Ontario. #Covid_19 #covid19,17 currently under investigation a of be Feb 19th for coronavirus in Ontario covid19
1,199,0,,"2020 Olympics Could Be 'Canceled' Over Coronavirus Outbreak, Official Says via @TMZ",2020 Olympics Could Be Over Coronavirus Outbreak Official Says via TMZ
2,170,0,,27 people in Ontario now being tested for coronavirus but no evidence of person-to-person transmission here,27 people in Ontario now be test for coronavirus but no evidence of transmission here
3,114,0,,"According to health officials, this is what you will need for a #coronavirus home quarantine for 14 days #COVID-19",According to health official this be what you will need for coronavirus home quarantine for 14 day
4,117,0,,"According to health officials, this is what you will need for a #coronavirus home quarantine for 14 days #COVID-19",According to health official this be what you will need for coronavirus home quarantine for 14 day
5,185,0,,Air China Cancels All Flights to Greece Amid Coronavirus Outbreak,Air China Cancels All Flights to Greece Amid Coronavirus Outbreak
6,195,0,,"Amazon removes 1 million products for misleading claims, price gouging amid coronavirus outbreak",Amazon remove million product for mislead claim price gouge amid coronavirus outbreak
7,81,0,,"American friends: COVID-19 Tests Don't Cost Over $3,000",American friend Tests Do not Cost Over
8,132,0,,An Ontario man who travelled to Toronto last week to attend a conference has tested positive for COVID-19.,An Ontario man who travel to Toronto last week to attend conference have test positive for
9,93,0,,St. Anthony School News: Update on the Novel Coronavirus (COVID-19),Anthony School News Update on the Novel Coronavirus
10,65,0,,"Apple restricts employee travel to Italy, Korea over coronavirus",Apple restricts employee travel to Italy Korea over coronavirus
11,249,0,,"At least 71 countries imposed travel restrictions to South Korea, as the cases of COVID-19 continue to rise.",At least 71 country impose travel restriction to South Korea a the case of continue to rise
12,142,0,,BBC News - Coronavirus: Italy to suspend mortgage payments amid outbreak,BBC News Coronavirus Italy to suspend mortgage payment amid outbreak
13,268,0,,BBC News - Release of James Bond film No Time To Die delayed amid coronavirus fears,BBC News Release of James Bond film No Time To Die delayed amid coronavirus fear
14,184,0,,"BBC Sport - Coronavirus: F1 will look to reschedule Chinese Grand Prix, says Ross Brawn",BBC Sport Coronavirus F1 will look to reschedule Chinese Grand Prix say Ross Brawn
15,229,0,,BC announces more cases of COVID-19. #Coronviru,BC announces more case of Coronviru
16,211,0,,BEYOND LOCAL: Zuckerberg pledges to stop COVID-19 misinformation on Facebook,BEYOND LOCAL Zuckerberg pledge to stop misinformation on Facebook
17,275,0,,"BREAKING: Harvard classes will move online starting March 23 due to a growing global coronavirus outbreak, University President",BREAKING Harvard class will move online start March 23 due to grow global coronavirus outbreak University President
18,116,0,,#BREAKING: Health officials in Ontario have confirmed new case of the novel coronavirus (COVID-19) in Toronto. ,BREAKING Health official in Ontario have confirm new case of the novel coronavirus in Toronto
19,262,0,,BREAKING NEWS - the NBA has suspended their season after a player on the Utah Jazz tested positive for Covid-19,BREAKING NEWS the NBA have suspend their season after player on the Utah Jazz test positive for
20,88,0,,BREAKING: Ontario schools closing due to coronavirus COVID-19 ,BREAKING Ontario school closing due to coronavirus
21,218,0,,BREAKING: #Ontario schools ordered closed after March Break. #cdnhealth #coronavirus #covid19,BREAKING Ontario school order close after March Break cdnhealth coronavirus covid19
22,51,0,,BREAKING: Possibility Tokyo Olympics postponed to prevent spread of COVID-19,BREAKING Possibility Tokyo Olympics postpone to prevent spread of
23,189,0,,BREAKING: Two government sources tell @cdnpressnews Ontario is set to announce a new confirmed case of the novel coronavirus.,BREAKING Two government source tell cdnpressnews Ontario be set to announce new confirm case of the novel coronavirus
24,23,0,,BREAKING from @washingtonpost: First U.S coronavirus case of unknown origin confirmed in Northern California,BREAKING from washingtonpost First coronavirus case of unknown origin confirm in Northern California
25,221,0,,Breaking: Alberta has its first presumptive case of coronavirus. #covid19,Breaking Alberta have it first presumptive case of coronavirus covid19
26,212,0,,British Columbia health officials try to dispel COVID-19 misinformation among Chinese-Canadian community,British Columbia health official try to dispel misinformation among community
27,174,0,,CANADA: How Canadian researchers are using data to track the spread of the coronavirus,CANADA How Canadian researcher be use data to track the spread of the coronavirus
28,135,0,,CANADA: Top doc warns against travelling on cruise ships over COVID-19,CANADA Top doc warns against travel on cruise ship over
29,134,0,,"CANADA: Trudeau promises $1B for COVID-19 research, support workers forced to isolate",CANADA Trudeau promise 1B for research support worker force to isolate
30,67,0,,CENTERS FOR DISEASE CONTROL: Please refrain from touching your face. It will help stop the spread of the coronavirus.,CENTERS FOR DISEASE CONTROL Please refrain from touch your face It will help stop the spread of the coronavirus
31,136,0,,COMING UP: PRIME MINISTER JUSTIN TRUDEAU DISCUSSES COVID-19 ECONOMIC PLAN,COMING UP PRIME MINISTER JUSTIN TRUDEAU DISCUSSES ECONOMIC PLAN
32,57,0,,Canada confirms first 'community case' of COVID-19: Here's what that means,Canada confirms first case of Here is what that mean
33,169,0,,Canadian health chief: 'I don't think there's any reason for us to panic' over coronavirus,Canadian health chief do not think there is any reason for u to panic over coronavirus
