,index,tweet,tweet_text,clean_tweet
0,149,"RT @BNODesk: 10 towns in northern Italy have been put on a virtual lockdown due to coronavirus, according to local media","10 towns in northern Italy have been put on a virtual lockdown due to coronavirus, according to local media",10 town in northern Italy have be put on virtual lockdown due to coronavirus accord to local medium
1,983,"RT @adamfeuerstein: $125M effort to find #coronavirus drugs started by Gates Foundation, Wellcome, and Mastercard https://t.co/doD3ZRaDGt v…","$125M effort to find #coronavirus drugs started by Gates Foundation, Wellcome, and Mastercard  v",125M effort to find coronavirus drug start by Gates Foundation Wellcome and Mastercard
2,960,RT @SafetyPinDaily: 13 times Trump's coronavirus claims have gone down in flames | Via: Alternet https://t.co/NtwpclYfJr,13 times Trump's coronavirus claims have gone down in flames | Via: Alternet ,13 time Trump is coronavirus claim have go down in flame Via Alternet
3,587,"RT @RT_com: 16 million people ordered into quarantine as #Italy struggles to contain the spread of #coronavirus 

https://t.co/q9VTJS9T3K h…","16 million people ordered into quarantine as #Italy struggles to contain the spread of #coronavirus 

 h",16 million people order into quarantine a Italy struggle to contain the spread of coronavirus
4,1071,"RT @UrinatingTree: 2020 ABRIDGED:

- Iran/US tensions at a peak
- Coronavirus ravaging China, probably worse than reported
- Congress in tu…","2020 ABRIDGED:

- Iran/US tensions at a peak
- Coronavirus ravaging China, probably worse than reported
- Congress in tu",2020 ABRIDGED tension at peak Coronavirus ravage China probably bad than report Congress in tu
5,517,"21 people test positive for coronavirus on California cruise ship, out of 46 tested so far https://t.co/dMhXd2l3MN","21 people test positive for coronavirus on California cruise ship, out of 46 tested so far ",21 people test positive for coronavirus on California cruise ship out of 46 test so far
6,470,"ABC News: 'Getting harder to contain': Sydney school shut down after student infected with coronavirus.
https://t.co/mK2Cg1XXIE","ABC News: 'Getting harder to contain': Sydney school shut down after student infected with coronavirus.
",ABC News harder to contain Sydney school shut down after student infect with coronavirus
7,638,RT @kasie: ALSO OF NOTE: Congress as a whole could be more susceptible to dangerous symptoms of the coronavirus. Sixty-six senators are ove…,ALSO OF NOTE: Congress as a whole could be more susceptible to dangerous symptoms of the coronavirus. Sixty-six senators are ove,ALSO OF NOTE Congress a whole could be more susceptible to dangerous symptom of the coronavirus senator be ove
8,188,RT @picardonhealth: About 80% of #coronavirus cases are mild. That’s good because most people recover. But it's bad because it means the vi…,About 80% of #coronavirus cases are mild. That’s good because most people recover. But it's bad because it means the vi,About 80 of coronavirus case be mild That good because most people recover But it is bad because it mean the vi
9,125,"RT @CityNews: According to a new poll, 69 per cent of Canadians believe that Canadian officials have dealt with coronavirus in a ""prudent a…","According to a new poll, 69 per cent of Canadians believe that Canadian officials have dealt with coronavirus in a ""prudent a",According to new poll 69 per cent of Canadians believe that Canadian official have dealt with coronavirus in prudent
10,371,"RT @RARohde: According to the official statistics, the coronavirus epidemic in China has been leveling off with more than half of patients…","According to the official statistics, the coronavirus epidemic in China has been leveling off with more than half of patients",According to the official statistic the coronavirus epidemic in China have be leveling off with more than half of patient
11,86,"RT @Habossaad: According to this latest literature review article,the #coronavirus can persist on surfaces (metal, glass, plastic...etc) fo…","According to this latest literature review article,the #coronavirus can persist on surfaces (metal, glass, plastic...etc) fo",According to this late literature review article the coronavirus can persist on surface metal glass plastic etc fo
12,978,RT @WR_Record: Acting Medical Officer of Health for Waterloo Region talks about managing coronavirus in the area https://t.co/GDoMeQWhoa,Acting Medical Officer of Health for Waterloo Region talks about managing coronavirus in the area ,Acting Medical Officer of Health for Waterloo Region talk about manage coronavirus in the area
13,283,RT @ladyagape: @AdultEdTCDSB @AdultEdTCDSB  ... people infected with coronavirus who have not yet developed symptoms can easily transmit th…,@AdultEdTCDSB @AdultEdTCDSB  ... people infected with coronavirus who have not yet developed symptoms can easily transmit th,AdultEdTCDSB AdultEdTCDSB people infect with coronavirus who have not yet developed symptom can easily transmit th
14,361,RT @SCMirror: Advocates want plan to prevent coronavirus spread in Toronto shelters. https://t.co/5tM6WhH3Fp #TOpoli #homelessness #coronav…,Advocates want plan to prevent coronavirus spread in Toronto shelters.  #TOpoli #homelessness #coronav,Advocates want plan to prevent coronavirus spread in Toronto shelter TOpoli homelessness coronav
15,742,"RT @chevymo: Aeroport de Montreal ... 

Notice to passengers – Coronavirus
https://t.co/FaAK9W5HvV

WHY no mention of flights from Iran? 
#…","Aeroport de Montreal ... 

Notice to passengers – Coronavirus


WHY no mention of flights from Iran",Aeroport de Montreal Notice to passenger Coronavirus WHY no mention of flight from Iran
16,1260,"RT @EpochTimesChina: After 2 high-ranking gov't officials in #Hubei Province died from the #Coronavirus, many officials are getting special…","After 2 high-ranking gov't officials in #Hubei Province died from the #Coronavirus, many officials are getting special",After official in Hubei Province die from the Coronavirus many official be get special
17,876,"RT @THR: After the NBA suspended the remainder of the season due to the #coronavirus outbreak, the NHL was still evaluating its response ht…","After the NBA suspended the remainder of the season due to the #coronavirus outbreak, the NHL was still evaluating its response ht",After the NBA suspend the remainder of the season due to the coronavirus outbreak the NHL be still evaluate it response ht
18,221,"RT @Gerjon_: After the ☣#Coronavirus was found among South Koreans who had visited Israel, South Koreans will not be allowed into Isra…","After the ☣#Coronavirus was found among South Koreans who had visited Israel, South Koreans will not be allowed into Isra",After the be found among Koreans who have visit South Koreans will not be allow into Isra
