,Is_Unreliable,Category,Tweet
0,1,"1, 3, 6, 9",We are living in scary times in Canada. Gov’t refuses to protect Canadians from coronavirus
1,1,"1, 6, 8, 9","Just as bad in Canada. In fact, our government is now accusing us of racism for blaming the Chinese for coronavirus"
2,1,"1, 4, 9","It was only a matter of time before the mainstream media decided to blame the coronavirus on climate change, I suppose."
3,1,"6, 8","Russia's taking no chances: Foreigners infected with the new Chinese coronavirus will be quarantined, isolated &amp; deported, PM"
4,1,"6, 8, 9","Although there is now a presumptive confirmed case of Wuhan novel coronavirus, I want you to know that Ontario is prepared"
5,1,"3, 10","hooray, finally there is a propaganda banner telling people they can make babies if getting bored staying home #coronavirus"
6,1,"5, 6, 10",#Russia is pushing propaganda claiming the #coronavirus is a US bio weapon targeting #China because of #Trump’s trade
7,1,8,Who Says It's Not Safe to Travel to China? | @nytimes https://t.co/XnCdNqUmWi #travelmarketing #coronavirus #China #travelwarning #travel #thursdaythoughts #Toronto
8,1,3,The best defense against disturbing new diseases like #coronavirus is bolstering public health systems of the world’s
9,1,"1, 3, 6, 8","China, Desperate to Stop Coronavirus, Turns Neighbor Against Neighbor “(People from Wuhan) are pariahs in China, among the millions unable to go home and feared as potential carriers of the mysterious coronavirus."
10,1,"5, 11","Coronavirus, with zero American fatalities, is dominating headlines, while the flu has killed dozens of U.S. kids this s…"
11,1,"5, 6, 7, 8, 9",RT @daveaurkov: #Iran just killed 57 of our citizens. The #coronavirus is spreading for Canadians   Our economy needs support.  
12,1,"3, 6, 8, 15",The Chinese Coronavirus has become a major existential crisis for secretary xi and his cadre of miscreants. 
13,1,9,"Diseases like coronavirus remind us why we need robust institutions and investments in public health, and a government that is prepared to jump into action at a moment's notice"
14,1,"2, 10, 11",YA THINK!!?!!?! Study claiming new #coronavirus can be transmitted by people without symptoms was flawed
15,1,10,It was good for publicity’ says man arrested for false coronavirus claim on Jamaica-bound plane - via @680news https://t.co/IdyDbXqPqq
16,1,"6, 11, 14","The #coronavirus outbreak may have been predicted in the Bible, as well as its origins in China's markets."
17,1,"6, 11",Coronavirus cure: 'Substantial benefits' recorded after breakthrough drug used in China https://t.co/IyJwUTTKbc 
18,1,"1, 3, 4, 9",I see more and more videos of people refusing to be quarantined due to #coronavirus. They’re definitely terrified of something
19,1,"9, 10, 11, 12, 15","Communist China is lying about true extent of Coronavirus outbreak - If Communist China doesn’t come clean, internation"
20,1,"6, 10, 15","Exclusive: Chinese Regime Deploys 1,600 Online Trolls to Suppress Information on Coronavirus https://t.co/JKoPgU6vlN "
21,1,"3, 9, 13",My nose is running this morning and its making the white people on my commute nervous. Bitch theres no coronavirus cases in toronto.
22,1,"6, 7","Hey Americans? Imagine #coronavirus in #US. Schools closed, Humans locked inside homes. Better to prepare for something"
23,1,"6, 9, 11, 15",And we're only about a day from MAGA world declaring that the Coronavirus was designed by noted genetic engineer Hillary
24,1,16,The President is telling people to buy stocks rather than helping to educate them about how to avoid coronavirus.
25,1,"9, 10, 14, 16",I agree. Coronavirus will be used by the fossil fuel industry and auto industry as air cover for negative secular trends
26,1,4,It appears that apartment buildings are being sealed shut in some parts of China hard hit by #Coronavirus. 
27,1,"6, 10, 16",The Coronavirus proves Trump was correct again. The US must rebuke Globalism and be self sufficient in all aspects of
28,1,"9, 10","If the #Coronavirus crisis makes anything clear, it’s that we need to stop relying on #China for our critical medical supply"
29,1,"6, 15",Professor Emerita of U.C. Berkeley School of Public Health Says ‘MAGAts’ Not Prepared for Coronavirus https://t.co/a67qmzcQEy
30,1,"6, 8, 11",#Chinese city of #Shenzhen to ban eating #cats and #dogs as part of moves to stop spread of #coronavirus South #China
31,1,"5, 9, 11",This is the complete DNA of the Coronavirus (SARS-CoV-2). We are being attacked by a 8 kilobytes virus. Remember this
32,1,"1, 2, 5, 15",The Usual Suspects Try To Find A Way To Blame #PresidentTrump For The #CoronaVirus ATTN Pathetic Pelosi People Who Kill
33,1,"2, 5, 6, 11",GOING VIRAL: Lysol Spray is known to kill ‘versions’ of human Coronavirus- it’s on their product labels #Lysol
34,1,"3, 6, 10",CNN Has Been Deliberately Trying To Incite Panic With #PresidentTrump Has No #CoronaVirus Plan  Talking Points  Watch
35,1,"2, 17",WATCH: @chrislhayes on Trump’s attempt to downplay the coronavirus spread in order to help his re-election
36,1,"1, 16","Janet Yellen has just said Coronavirus could ""put the US into a recession."" And that's the plan folks. All the hype for "
37,1,"2, 10, 11, 13",Can we PLEASE stop spreading the lie that Coronavirus is super super super contagious? It's not. It has a contagious rating of TWO
38,1,11,A Harvard epidemiologist now predicts 40-70% of the world population will get coronavirus in the next year. The virus has
39,1,"3, 16","The best advice for investors amid the coronavirus scare, the TSX stock handing out special dividends, and GICs to avoid"
40,1,"6, 11","38% of Americans won't buy or drink Corona beer because of the #Coronavirus Once you've grasped that, Trump's Presidency"
41,1,"10, 15",China concerned Western authoritarian government will cover up coronavirus outbreaks #CoronaVirusUpdates #COVID19
42,1,"5, 6, 10, 14","Donald Trump is battling the coronavirus with people who think science is a fraud, the Earth is flat, and Jesus chased dinosaurs off the edge of the world to make room for Christians. #TrumpVirus"
43,1,11,Post Exclusive: Trump administration sent U.S. workers to greet returning coronavirus victims without protective gear
44,1,"1, 6, 9","I think Pence is being used as Trump's coronavirus scapegoat. If it becomes a pandemic in the US, Trump will blame Pence"
45,1,"1, 5, 11","Reports on 60 #coronavirus cases in Iran with 9 of them dead already. Similar to #China, the Iranian government is hiding"
46,1,2,UPDATE: The Chinese Communist Party (CCP) now admits to an internal report showing the Coronavirus did not originate from the Huanan food market as they initially stated.
47,1,16,Trump asserts coronavirus 'under control' as stocks plunge. It’s so well controlled that tRump and Melania should have to have to wear masks when they return to the United States.  Being confined until 2021 would also help make America a safer place to reside.
48,1,"7, 8",Chinese People Eating Bat Soup Linked to the Coronavirus-Video
49,1,"3, 8",Didn't Trump announce a Coronavirus task force and then everyone got mad that there were too many white men on it?
50,1,16,South African cops will take a bribe &amp; let the guy go #CoronaVirus #CoronaVirusUpdates
51,1,10,"Trump is now spreading rank conspiracy theories in the face of coronavirus. This isn't just Trump ""flooding the zone with chaos."" It's much more pernicious. Trump is trying to dodge accountability for his own response to a public emergency."
52,1,1,"Azar refuses to promise a coronavirus vaccine will be affordable for anyone:""We would want to ensure that we work to"
53,1,8,Hong Kong finds the coronavirus in samples from a pet dog. Can the illness be transmitted to pet
54,1,"4, 9, 3",My friend was at O’Hare today and heard people laughing at the idea of washing hands to prevent coronavirus.
55,1,15,"hey #TrumpTrain #WHO official warns that #Trump is '""ignorant"" about #coronavirus and doesn't understand public health "
56,1,"11, 5, 9, 3","It’s less surprising that 38% of Americans said they won’t buy Corona beer because of the coronavirus when you remember that 30% of Republican voters once said they’d approve of bombing Agrabah, the fictional city in Aladdin."
57,1,"5, 1, 2, 3","Trump is trying to weaponize Coronavirus against immigration, blaming what he calls “the Democrat policy of open borders” for the “direct threat to the health and well-being of all Americans.” That’s INSANE. His demagoguery is now a clear and present threat to every one of us."
58,1,"2, 13, 9",YOU ARE NOT HALLUCINATING STEVEN MILLER'S NEW WIFE IS IN CHARGE OF APPROVING ALL CORONAVIRUS COMMUNICATION. WTF
59,1,"9, 1, 3",This is so outrageous I think I’m in shock. This was today! Trump can not gaslight the Coronavirus away
60,1,"9, 3, 12",We don’t have to worry about the coronavirus spreading here. Americans are smart enough to not spread their germs
61,1,"1, 3, 10","tRump is muzzling gov scientists and health experts, forbidding them from speaking about the coronavirus pandemic"
62,1,4,"Since the outbreak of the coronavirus, has anyone from the Left suggested closing our Southern border? Wouldn't that"
63,1,"8, 6","When Trump blocked Chinese travel to prevent the spread of Coronavirus, Chuck Schumer called it racist."
64,1,"6, 13, 10","Kristina Fischer on Fox News just said that the President called the coronavirus the Democrats's ""new hoax."" Wrong, dogbreath"
65,1,"9, 1, 6, 10","Just so we’re all clear on this: The Democrat #coronavirus plan is to blame Trump, then hope that a whole bunch of Americans"
66,1,"3, 10",Trump last night: coronavirus is a hoax; and his supporters should dishonestly vote in the Democratic primary for his weak
67,1,"10, 6","the expert is not being permitted to speak in the U.S. about #coronavirus. Rather, it’s the Trump &amp; Pence"
68,1,"9, 8, 4",I see #cdnmedia are beginning to move on from the coronavirus-racism story to the blockades-racism story #cdnpoli
69,1,"9, 11, 4",if u  have coronavirus come see me in person i will show u the strength of my immune system
