,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,-0.007101071355988,0.012123926234871662,0.0010524940759566968,0.004955553590488829,-0.007248047811115755,0.004534940072131656,-0.0010713164830469264,0.0013784505565468778,-0.0033564188353864786,0.011059476652159714,-0.002242946765850566,0.001343812454224338,0.0033411240784611412,-0.004556940009004924,0.0035990449554105172,-0.006552972583018952,-0.004243187243277671,-0.0023917880459227714,-0.004852272076380776,0.921261069994185,0.003870371834129152,0.004995934828395111,-0.006082571902135982,-0.00323643365577447,0.007050556603159806,0.0078403115876285,0.004536745771346887,0.0005778132146683681,0.006513132155271287,-0.0018775064156662615,0.0007951506742086244,0.005389131221980294,-0.00507248691485971,0.0065648250430302875,-0.00520012594857946,0.0011362706490620081,0.006547429334325401,-0.007953975574690828,0.0018917820085909082,-2.0983833929169235e-05,0.0028012561996132793,-0.005209989368759039,0.0022231883224900356,0.00987870261055222,0.002922230624292435,0.0013979995119057925,-0.0037290835810067395,-0.00714737765744846,0.01874103872210417,0.00507893757505539
#,-0.001766504048406753,-5.5824965763770495e-05,-0.001522491680534338,-0.0007413662726361361,0.001447668922496828,0.004816808173624891,-0.0011292239568195068,-0.005820157203258999,-0.0010524598955594898,-0.0017951446903349579,-0.001399396564968099,0.0006467662991162561,0.00041687951346389834,0.003970145827141856,0.0035590138461014525,0.0013293568700436158,0.0020557429365727214,-0.003971049950924444,-0.002270533751630721,0.00021077898503021105,0.0027228186217818917,0.0005213752958407591,0.0023150664487234032,0.000877539542034865,-1.801188293551817e-06,0.0029105267248793563,0.0038158236137645005,-0.9722477614731717,-0.002323312340540583,-0.0021808675990801774,-0.001945223754673299,-0.005506078763437016,-0.00029511003426146987,-0.002515861070389088,8.102944406187303e-05,-0.001659753727032821,-0.000975073479750864,0.00263078094233498,-0.0012565774981031785,0.0007616795262763848,-0.00740192769960866,-0.0012997825417749367,0.0008434131614038637,-0.005420067050160224,0.00032116437099518474,-0.0016334303089810681,-0.003323250102798974,-0.0035010722488804345,0.001909451183470072,-0.00038669080489448296
(,0.0026628467496717504,-0.0033183797216340336,-0.005521308713388996,0.009055441192498265,-0.03207408781097208,-0.006726373978897516,-0.009859229494653772,-0.016593946966793564,0.007540720285853202,-0.008656180155134639,-0.005512531210334353,-0.010555191762792602,0.010302746086020907,-0.005906228759356192,0.002853213306137047,-0.0037068265536973587,-0.008884029496214672,-0.030416320137902502,0.0018596435371293061,-0.006541928185293394,0.005222300379499424,0.007966661079212414,0.0007502934253990293,-0.004859950629492256,-0.002170967491577502,0.010446229706357335,-0.5709837481364475,0.008265119094861039,0.008627087952615634,-0.08120446641727434,0.0029638138330393624,-0.010350566816160903,0.003832070174156721,0.003662358427402421,-0.084531006148307,0.004806273672600357,-0.002610103945496888,0.009479471807025481,0.0012623964241994844,-0.001243933866394327,-0.013677890157519126,-0.009336513849029011,0.0050448800645312925,-0.0011946654479735776,0.00038210270304011185,-0.02254843630669672,-0.024366023816204486,-0.01232903694099799,0.003431522085859298,-0.011990574721617155
),0.006469248817210144,-0.001966101907637959,-0.017180248460122508,0.00656766268553277,-0.03391623129664161,-0.006474497463653765,-0.008730767712936363,-0.01766363371127077,0.007160087436856021,-0.00979783958030449,-0.00886369044359127,-0.007778196363436515,0.013595107780664913,-0.006683705727754657,0.002568305496213271,-0.004718868410352323,-0.001352468418367312,-0.030147438166713485,0.007668326833247217,-0.0008114871027738168,0.004224683238851272,0.005938609670945807,0.0019525369261436045,-0.007799298115071907,-0.002659958260186099,0.008890962923931505,-0.5787706006464335,0.008646551628247392,0.00786745680775702,-0.08466742909618509,0.0009294824978894559,-0.010458103200746166,-0.0020868254180807996,0.00586101921703984,-0.10219251821199632,0.006261606780545149,-0.00126655644283292,0.0051976478193147355,0.0010219589628987068,-0.002898954232188452,-0.014923323321458584,-0.009013958920981294,0.005908410698180331,-0.0007790382610378989,0.006565328163680689,-0.020186006825305913,-0.021170108724115008,-0.015135935029922096,0.0038907987216611085,-0.011236482112530893
",",-0.0013791193956971624,0.0037808817389674313,0.0038140463730305767,0.00489608225458429,-1.6776906605645188e-05,-7.1276187991464734e-06,-0.0005128021163439186,0.002469346884348335,0.0035207673898748904,0.003672353550425715,0.003960353624561139,-0.004931965006444321,-0.0016104063482213701,0.004046884082827506,0.007111165378471698,-0.005911801911685583,0.004198694970313777,0.007030211799172434,-0.0018600683245388223,-0.004945246074656032,-0.0014577132852207873,-0.9608475929886937,-0.0050546096729979974,-0.001212127235813416,-0.0012971678648959033,-0.007743111062984089,0.005871101194196683,0.0011111155299376764,-0.0019156315080203073,-0.0039652068084164716,0.0026979015230806716,0.0028327010154022263,0.007374559942169522,0.002588733986831633,-0.0002928949984473267,0.0004022565593937502,0.0006840632972572175,0.008116520469924188,-0.007486217486389401,0.0005462110350625028,-0.0003995131085534412,0.0016057456740278427,0.010579291493294857,0.0014296439264271654,0.012975376112408794,0.011079724537344135,0.0014474603018971698,-0.0012139873466036344,-0.0009336995804157776,-0.005619712178676604
-,-0.19512707402285967,-0.18539907592896132,-0.037579904988881085,-0.015326401834201782,-0.010704737929972563,-0.2848515903537334,0.11442122257965504,0.021595553449072373,-0.011846733843566114,0.01703868856682727,-0.012416800187101663,0.03464137701068765,0.013299693167107959,-0.09697567266193881,0.015719490489860453,0.03001546459130222,0.003574030248957784,-0.16900339320989247,0.2991885284032133,0.004630295137420432,-0.004610709793820104,0.004542789145186467,-0.025909829868551698,-0.0019078074113047586,-0.0025818430832850003,-0.07179931297434375,-0.005658737334978684,-0.004290561722776643,-0.09308990544647819,0.04000329969482324,-0.008902707828343646,-0.14938040667483715,-0.38565918968432383,-0.01616988942496439,0.03697561748887164,0.19369001323036417,0.012621056720424541,0.0037405219853480533,-0.01639121490422896,0.009031600960623928,-0.003489152299241346,0.13868455127316326,-0.0070285513416195235,0.001765263887079845,0.02307631188506879,-0.0006107196674898637,0.0004935849163048879,-0.0083454979441372,0.001824189514924364,0.018107271569260168
--,0.0006659143298838152,0.002526226422673092,0.0048869307488550754,0.06474174819266877,0.0002706523287363448,0.04342231923787392,-0.0035137575718110783,-0.00033315260292837473,-0.0039547852997640146,-0.026641685161326485,0.0639483082697672,0.0008826564197888054,-0.01225137423111835,-0.006278439890956926,0.01939642902844564,-0.0037247714613065754,0.027111006945035168,-0.011587976615011614,-0.03344577384335013,-0.006242995177009726,-0.005435016619039803,-0.011652052102447604,-0.03317348192157225,0.0030467382137054615,-0.013233677617783024,0.020075494246720713,-0.0012935865842742455,0.007312355161720562,-0.00011626622101511405,0.008226723412417519,0.0042462756135069075,-0.0037011185665528543,-0.03666100210287729,-0.00992645555565205,0.00011224481253567362,-0.003263414427326061,0.034231479653807344,-0.006809039386953646,-0.036524032469394854,0.00321329654396636,0.007161827144460533,-0.05464782359551934,-0.03432827364080233,-0.03279587918980117,-0.005825340307387737,-0.005680410105190756,0.014707167759915367,0.005513804292895176,-0.0019842542372926243,0.0019266144471856326
.,0.0026484563889218674,-0.0005502358770199355,-0.003783467706875835,-0.0014681384770959243,0.002213167307178729,0.005364133794596099,-0.0010957790833470635,0.0018035780821129763,-0.00013205446080764155,-0.00016362625617540993,-0.0016625500141053545,0.0016153475338541133,-0.0019902005464630407,0.003144886887516171,0.006609040298590808,-0.0013091125337067067,0.0046286936968785875,0.002672743209939571,0.0005461094711111981,-0.0013865987448844902,-0.0019109903751989218,0.00037160933504911883,-0.0005024384561883102,-0.002330129936861769,0.0005912411487605162,0.003202345047235919,-0.0011162503646455005,-0.0002974950424987667,-1.2048188772095791e-05,-0.0013326459953924043,-0.0023996304259604473,0.006168252804574989,-0.0021025668564365646,0.0012038148661478384,-0.006826297427291107,0.005835620397454765,-0.006597219104452791,0.0019233565068423192,-0.0030763257283105833,-0.9715576643488485,-0.0034187262416958825,0.0010827324629959223,0.00863824863208814,2.1044359541706747e-05,0.002703564798673049,-1.0698049935489728e-05,0.004585497190965009,0.0023856416142844505,-0.0017151600436455406,0.000341223722703881
..,0.00394580101137588,0.005018872425073085,0.0021517332774812757,-0.004259174766235907,0.01646727944512567,0.0005791384695649213,-0.0026380407788890795,-0.0009151187610691558,0.005455768154944014,-0.002703557713433823,-0.001495487532561223,-0.00048361251941558684,0.0017311757978810878,-0.007860053418286893,-0.0025642120230810693,-0.0039715217967259886,-0.0022390671359125936,-0.0009573136786782537,0.008380271508811252,-0.004779512945087489,-0.006561116219145388,0.005266681190741115,0.0008011522519491125,0.00321815846496386,-0.0012682952432680151,-0.0037996087621749173,0.004443251168152827,0.00041704316056303436,0.010506713396387089,-0.0019315251764296729,-0.003027153046445752,-0.003740641344288067,-0.002679877981804757,-0.008890472167121886,-0.008255369105033005,-0.0061663722015183765,-0.0039262821124241495,0.0025808767247144687,-0.01144515316977951,0.002654560658888217,-0.0020305426947610887,-0.002793124986539315,0.006164060003425439,0.004164665634386699,0.0007929985755412856,0.005216675112618762,0.004172829273233777,0.000857301386643565,0.022485714235920357,0.005774411138284486
...,-0.0006914460846217382,-0.01326755946746495,0.014788337947408265,0.042932626627356196,-0.009761478241924507,-0.02532936146487124,0.013737083354874764,0.00227039852758088,0.016964360152956513,-0.004484036537075679,-0.03164238683368767,0.017254250493763994,0.03090240498278017,0.014944550349584772,-0.003886294741925805,-0.04974065890367951,-0.0031999378975034565,-0.06737256321583437,-0.02815155456774788,0.03434636053171584,-0.0070313165593082535,0.0013178261812570669,-0.017680477641427154,-0.025339100170112885,0.016779662425885924,-0.009709835603039368,-0.01948942655519602,0.008712246157808811,0.005337663877401316,0.030451480185720182,-0.005222772571507158,-0.03612059626351789,-0.016191272676322827,-0.018079666773087793,-0.003757348637194024,0.06645026337704561,-0.009481169127588389,-0.020505729459345763,-0.007976660260369056,-0.003041215616438306,-0.012075336843185975,0.001247005153361454,-0.0006172961367927842,-0.00015442715539331817,-0.028477086731055992,-0.006360979499621397,-0.015443523138512369,-0.009448549429866972,-0.0142259504844819,0.04104632629918485
