,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,-0.005997251127117618,-0.0027969411341004606,0.002932292669711258,0.005311417211655761,-0.013594279194825826,0.009837207621228507,0.006439500735886823,0.0004188796365811945,-0.004128154784186501,0.006277972050247631,-0.002478890532261909,-0.003422011392845054,0.0030403295731020376,-0.009209967988091657,0.001527891677224058,0.003911084251047221,0.00277958017329117,-0.00300479033771894,-0.008410973905642528,-0.0021304732800908784,0.0085163128091155,-0.9370247710019752,-0.0014266015157294162,0.007749779192839301,-0.0021754678514819712,0.0018779530183224737,0.0038507524253417087,0.00043417706580236963,-0.00109208354576509,-0.008620080161699989,0.0014434775178879637,0.002152417746930965,-0.0021910594547229216,-0.001492719801977259,0.00041702947236909975,0.0026457224479990507,0.00032896220167656556,0.0023801041985639206,-0.00618961988343634,-0.014810224932096033,-0.00544486251368724,-0.001367320122128794,-0.0012135084706920672,-0.006299412143055561,-0.0013784872226040978,0.0042852672620424985,-0.0025868140077292528,-0.0018265599286934192,-0.00511270592798861,0.004141733804256333
#,-0.0001551510764730077,-0.0025253199629817133,-0.0010552681061147678,0.002929833266118757,-0.0006612209254904591,0.0017876999660040918,-0.00011722415721559121,-0.002502962661874608,9.050222215346675e-05,-0.0018317572583073233,-0.00013990219766591566,-0.0043696688669799325,-0.00022333007546528755,0.0009159851037439243,-0.001967358193200791,0.0007239834097601885,-0.0010761417516168175,-0.0029324087065250234,-0.0012740711761574167,0.0014364476842095436,-0.0046651374645126364,-0.00023318105024048175,-0.0003083961999419335,-0.0026272037803362278,-0.00048771923199213667,0.003849943214052416,0.003391474723496518,-0.9780380142740892,0.005186385030294963,-8.750120024282257e-05,-0.0011915315694420933,-0.0036655706286938504,-0.0002026853064529474,0.0015860329296380898,-0.005249631268729308,0.0008351809492876533,-0.00035639035069618893,-0.004097438858720597,-0.0017510465276141252,-0.0005614586778937003,-4.0820063542895343e-05,-0.0006013569063181446,-0.0004094039011407931,0.003316594499292843,-0.0014473593203347887,-0.002930811979730212,8.80362721192643e-06,0.007115830804322296,-0.0011567952270575485,-0.0006389920100445742
(,0.0059130739633649395,-0.006114772012115742,0.018676112779124655,0.028480764836484,0.0012246956829333397,0.009994807060666234,0.004836592716266262,-0.029713581756086925,0.0020026766390724843,-0.0023774904459533033,0.012524078855829724,-0.019896578598548115,0.00795951032340873,0.012130167682415625,0.0052289420749664535,0.007084283223194911,0.0036271409073057592,-0.004474468274307789,-0.0041275547537562305,0.008175107418875137,-0.006791842547763561,0.006007540289832108,-0.016538059079888107,-0.010819137544710146,0.006131536583614736,0.027720669466294486,-0.5690260077016518,0.007476038644727254,0.018433713721063727,-0.017525176675563227,0.004575800635191795,-0.009871979794746705,0.014043654148851174,-0.009725801163348596,-0.026338360240173227,0.005985611942773814,0.0009352242597956162,0.006870967355139666,-0.010357784083984009,-0.0035470687383242546,0.0020434357752787693,-0.08680389927881044,0.00012818368822407975,-0.006203230575474648,0.006809403725989292,-0.0032212055598005397,-0.003634036467422829,0.012759216004187304,0.013483360507644284,0.08847158009007222
),0.009638498974688487,-0.0054176690133919386,0.021173662933434867,0.031153172868935854,-0.002604210607502263,0.011421635399371898,0.006137046049076025,-0.027290415235517465,0.001714453097953577,-0.001521408565965103,0.008999750350893043,-0.018768983922927165,0.01016042535605879,0.014738515157683221,0.005321325506743035,0.005303551165155085,0.005781436545783321,-0.003927078582142075,-0.0005907008734144601,0.019567522709227483,-0.0052378829921687145,0.0013674712424563227,-0.01560423217580463,-0.00688359022581549,0.00597505755016847,0.023911409072211294,-0.5769592195160791,0.007751429209047814,0.019523243480043233,-0.016908826883589873,0.0029975437991028473,-0.009775448395006265,0.010456592593350767,-0.002433610438205258,-0.030080457051147418,0.01161110827910369,0.002531253361814138,0.006628421286462202,-0.008924417364019123,-0.003982989021319241,0.00255384910753839,-0.09073137950715304,-0.006141597842868643,-0.004883610642968464,0.0036315771462599386,-0.004446811005809727,-0.004387282632990836,0.014514798743883254,0.012975891838141573,0.10620526176463475
",",-0.0030683906589275083,0.0017563551839444753,0.0007647578914667247,0.002080484270534283,-0.005175654613964862,-0.0033492215750810066,0.005625677082960629,0.00949180126095454,0.0011869612613082678,0.0006314931042641775,0.0019252230560890121,0.0066745540083829645,-0.0038335206564365266,-0.004582177526309687,-0.0051142515637127295,-0.9648103354320307,0.00029745232620757844,-0.005036515219202474,0.0005950561428161557,-0.0030205230778604583,0.0029273157926291114,0.003857336099716984,-0.0004391418449428736,-0.007920554962455407,0.0028344465449644946,-0.002103151543976431,0.005394624072210738,0.0012130204687081144,-0.0023801919609649086,-0.004116681961833211,0.0028604743550909514,0.0015095341135422935,0.006243978800639052,0.003386293612412914,-0.002339096176144119,-0.0008490394663011793,-0.00014772812357889686,-0.004536699955110246,0.007321443507519462,0.0009757038706635114,0.001742539977852741,-0.003521262321185714,-0.013512095131409635,-0.0003812080439075313,-0.0003101179421916393,0.0043271064260841634,-0.008048480685831437,0.0020337113758196954,0.004457938565853199,-0.000600606726198008
-,-0.09439071877833084,0.01151275189504349,-0.009060819156186811,-0.010995477539890212,-0.014563678339046912,-0.004734486696485345,-0.000287304356783695,0.006179007575837222,0.012084785453752342,0.003592893343146053,-0.006727318580040456,0.006980204488068527,-0.006182730032764659,0.0037790416720459193,-0.01877419735082748,0.00849458236832477,-0.025434106152302363,-0.024907115283164853,0.04886439063103424,0.019657893339358294,-0.014111412656778538,-2.7704497690469055e-05,0.009010397259660094,0.005961573723574151,-0.0097219091481777,-0.0031744681208934235,-0.0022553999839352544,-0.003082780962628544,-0.01256204743545177,-0.005268508948376285,0.0023103407258552727,0.0029356791423576743,-0.0850273249418882,0.008161225795767703,-0.005457808845370617,0.7430846501616948,-0.008927593915547786,0.03361783824821834,0.023680923159989656,0.0020691201427631744,0.0036088952455059532,-0.002381841382274836,-0.018728314492673037,-0.00039428745018138707,0.00868899158267942,0.02100769458563906,0.011932205962428482,-0.01417134668007141,0.005133041565689557,-0.022762638146891015
--,0.0002622491400779718,0.0029508507982863963,-0.006754605725884414,-0.0077734525403794505,0.0004310215397659266,0.032299862795070695,0.003020108042377145,-0.009394702863213842,-0.028744507100027357,-0.012252783455761076,0.005663934240575862,-0.015991852574996378,-0.00932010259320385,0.009360110253785463,-0.04459721397770075,-0.01279804237100929,-0.0010970035462396664,-0.01515782082925498,-0.018155623839388457,-0.008534226073446748,-0.02079673832057116,0.0050856956767443605,-0.016799953851663676,0.009162468634985974,-0.004151184682019567,-0.00937010138505832,-0.0033059115578313023,0.005590357308675551,-0.0013783873774038777,-0.04350999293249884,-0.0011375180210088567,-0.06011189503304663,-0.05016648195926807,0.02469036513127225,0.057657279066400655,-0.029281753515918267,-0.003974374209370419,0.012978112887249281,-0.020445104442021248,0.0016324269988946113,0.010620697138269583,0.011620985985831524,0.006418335268628126,0.022213473702700975,-0.00680613185365034,0.032329069797045126,0.01805800523659736,-0.009699694451815812,-0.004610859871795951,0.0006868905938428311
.,0.0005083457538034436,0.002333031698938743,-0.0022857074949891587,-0.0014857033933095704,-0.0008853373496909532,0.0034386051541507624,0.0015684108047170388,-0.0008352155464003003,0.005234740689637784,0.0016301393457393652,-0.001542869853100098,0.006663349652076069,-0.002428286552901558,-0.0007209537729052293,-0.0036142481937661564,0.00016963764546391522,0.002136852667077544,-0.005342635077786816,-0.0008985802982984757,0.003591831121311036,0.003618603046643666,0.0009391303538367826,0.0008601432540900986,-0.0034558066461836748,-0.00032992164237811983,-0.004307469370966287,-0.0009197309711974286,-0.000514322027379617,-0.0014765159503406997,0.0011184141707632636,-0.001675560333215309,5.492738601580588e-05,-0.002674465279200934,0.005023531788932261,-0.0007960311120937848,-0.00024172404767881968,0.975586453265644,-0.002571875975042437,-0.003140044855100374,0.001446814315686492,-0.0010938658434004843,-0.001534294480811882,-0.002087167492571134,-0.0021170807838007677,-0.0012534737700067213,0.000185454982491097,-0.007390068567629984,0.002506547567840474,-0.0005766134875203298,0.006746027239838297
..,0.005707578074585176,0.006106135373262678,-0.01783760553618101,0.0003234702414968466,-0.003947558510463423,-0.008995139724318835,0.0039309120474516875,0.006923204355747736,0.003901131427820473,0.004515305575699748,0.0015219260211557079,-0.005537309228496367,0.002113358623010432,0.0021133253037000027,-0.01164491296154175,0.004635043247501233,-0.0027311460922642417,0.002846803627216581,0.006769767123350616,-0.0019156427428792086,-0.0019129636479897024,0.003958375873878913,0.0005932621848494571,-0.0025350965275385035,0.005359321069310778,-0.0030168337858745386,0.0042184468497578655,0.0006064354408500635,0.0005947991008776332,0.004296780368326198,-0.005493033660183297,0.0027508940946110545,-0.006593169128446756,-0.0027403902305032273,-0.0021528994331663255,-0.001178782787110738,-0.00226193271552536,0.00738145598612824,0.0037622003252833257,-0.021909788393053152,0.0013147987393981393,-0.000955532977054606,0.0007427362851332068,-0.003827291277739943,-0.0019932561380632484,-0.0010474019465514218,-0.006898745084188293,0.0014123785797443408,-0.006336981136793067,0.009571758401828126
...,0.016927472420378207,0.008612150088672985,-0.017284989340471887,-0.00011550130382467208,-0.019316772287489403,0.022954104480393787,0.059499992419610084,-0.004903467258231728,0.024654396040860716,-0.007528209620265129,-0.01304441083746775,-0.005296071105561196,0.017707191716550462,0.00824870167512305,-0.0009590649534247484,0.003061169599093159,0.013148338517569372,0.0008512567798707781,-0.07481050122816298,-0.01209593122379496,-0.010050649344078894,-0.027570351553410852,-9.943862185273454e-05,0.02174472183327441,0.015678570910973764,0.012268673423980778,-0.019818184055493182,0.008399528429150703,-0.0011412095468478056,-0.05607192025687745,0.0005953970972027824,-0.010126632545323203,0.03182322494119679,-0.0025831827530032863,-0.014173340200599502,0.06553243051413829,0.0019577163735512203,-0.02236628778292043,0.0006307733206858966,0.01512209051088887,-0.014683000648859492,0.018403720367694745,0.03038805794828627,0.005888355732267156,-0.0073958957759602175,0.014729277739258622,-0.004715422367817943,0.008220240721766267,-0.03905956792853615,0.0012618658969381896
