,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,2.640071225773824e-05,-8.65973486655347e-05,-0.00022120954137670734,-0.0002154311767967053,-0.00021543117679684418,-0.00021543117679689137,-0.00019669205435493813,-0.0002709805928402596,0.00021543117679678924,-0.00023740311272435173,0.00021543117679675034,0.0002075719707586906,0.00021806022983962906,-0.00021543117679685223,-0.0005092560541636315,0.00045883249554512853,0.00025386826102556187,-0.0002704081199564959,-0.00010403223761689664,0.00021046153140074665,-0.0002310307501042598,0.9990091924687373,-0.00022204643246514003,-0.00025441968093380964,-0.00021543117679679842,0.00015540112156236987,-0.00021543117679679273,-0.00027723374715093703,0.00015508285076654832,-0.00023387340679891563,0.00028830091588182005,-0.0001334381994755364,-0.00021543117679682076,-0.00010475763490802592,-0.00021543117679681314,0.00021543117679684055,0.00021543117679678113,0.00021543117679683802,0.0003234802414847386,-0.00018354016478880006,-0.00030150430287319567,-0.000405274875063779,0.00031581450900191113,-0.00026717526848898194,-0.00015785838359046352,-0.00035556656441218873,-0.0002740385162035477,0.0002067462221370496,0.00021472247482888659,0.00042509936812041
#,0.00014038043890593488,-0.0013603118047327487,9.120903634289752e-05,-0.00021290527635600497,-0.00021290527635604446,-0.0002129052763559422,-0.00030659242062628517,-0.00014963914012267043,0.00021290527635586682,-0.0001669355528054299,0.00021290527635604915,0.0004161264145506535,0.00037879056555857604,-0.0002129052763560004,-0.0011796885490452935,0.0004224365761163265,0.00047811922218521374,0.0010531744404798787,0.0002444758008197795,0.0003904302178603866,-0.00039963586375655214,-0.0003251373005995926,-0.00022446647895208696,-0.00025462158468055485,-0.00021290527635551496,-0.00011336255962197993,-0.000212905276356052,0.9986397353563945,0.00015805563326640008,-0.00019474211783720302,0.00011982767278219397,-0.00016812676898413353,-0.00021290527635607986,0.0003223944267174224,-0.00021290527635595594,0.00021290527635601551,0.00021290527635612694,0.00021290527635609162,0.00023253225358907392,-9.064889954236554e-05,-0.0003022934680393087,0.0005027619327111835,0.0001623584257636479,-0.0002640498044297098,0.00035644706527503817,-0.000927064434236527,-0.00021133561906172202,0.0003171382809382863,0.0002143253445541823,0.00029239881693906775
(,0.002380101443686151,0.0035952869963442047,0.0008600914497765286,-0.0001627072088631047,-0.0001627072088631203,-0.00016270720886306088,0.0006458535436578397,-0.001699604929829292,0.00016270720886325113,0.0005192102141094111,0.0001627072088632121,-0.0007129489991107851,-0.001492200117909546,-0.00016270720886319182,0.0037118129801840434,-0.0025917930249926015,-0.0007402575446722783,-0.004333643284884238,-0.0006447514855158077,0.0002050661330160249,-0.003435288673929824,-0.0002872448647862481,-6.639327687315118e-05,-0.0002199458036621849,-0.00016270720886645302,-0.00021879689645903808,-0.00016270720886316927,0.0006331544638807384,-0.0025884799922105545,0.0012472129539331245,-0.0029160279159736813,-0.0014216722968480784,-0.00016270720886304014,-6.063712398516512e-05,-0.00016270720886283818,0.00016270720886308882,0.0001627072088629399,0.000162707208863222,-0.0017469810222814715,-0.006928395272171176,-0.0002829461267005439,0.9841182871728529,-2.388229151611455e-06,-0.00020107450009611313,-0.015072429277829813,0.0036832832399081535,-0.0007583687779932585,-0.00043696079008263757,0.00018367127148296317,-0.0005614533103029836
),0.0028457885576880677,0.00550358712913903,0.0012089440048925505,-0.00016787619431591277,-0.00016787619431578922,-0.00016787619431587713,0.0008979677935151845,-0.0010809288863370108,0.00016787619431577502,0.0005740104680202482,0.00016787619431559098,-0.00048273438405330507,-0.0009919271063095279,-0.00016787619431588997,-0.006332155660947164,-0.001869752636670701,-0.0004872478763163946,-0.0040563753528073294,-0.0019475215299227112,-0.000810608709329316,-0.00314932315012315,0.0006134931243603637,-4.698818524898819e-05,-0.00022152909101827596,-0.0001678761943080565,-0.00011866822984950661,-0.00016787619431580023,0.0009119383572811974,-0.0037935608982699884,0.0009235447298706655,-0.003262941027697394,-0.0012519299219171144,-0.00016787619431581283,0.0005095624707283206,-0.00016787619431586908,0.00016787619431581104,0.00016787619431582045,0.00016787619431589399,-0.001978346495984603,-0.007583780182657649,-0.0002859714386875379,-0.015550684461922537,0.0007058326508440717,-0.00020758249313623835,0.9811360688275159,0.0030305228460329506,-0.0007040887364864902,-8.762186809858583e-05,0.0001855269245161149,-0.0006356136386003244
",",0.00035327114887001576,-0.00043928661769779276,-0.000365581940016093,-0.00021202807890521202,-0.000212028078905188,-0.00021202807890499114,-0.00035815766258701434,5.632038461069258e-05,0.00021202807890529968,-0.0001857379776030688,0.00021202807890527463,0.0003605432620412338,0.00042896159370537507,-0.00021202807890514583,-0.0001996452357945792,0.00035311692899695846,-2.6671687090406735e-05,-4.745008538810727e-05,-0.00015231040376194934,0.00046395664543068954,-0.0002526323157413003,0.00011305803093954875,-0.00020141773465153856,-0.0002528851103627983,-0.0002120280789052905,0.000134391506798932,-0.00021202807890518012,-0.0002578552207020898,0.0005773276217570745,-6.871538686777784e-05,0.000566665928172394,-0.00016903727232432057,-0.00021202807890515003,-0.998683837800534,-0.00021202807890513385,0.0002120280789051362,0.00021202807890513748,0.00021202807890509623,0.0002383471534261124,-0.0002230299063220977,-0.0003009230587029069,-8.505918943298163e-05,0.0002263301085941201,-0.00026297400006511476,-0.00029809789521226607,-0.000247647059656568,-0.00012615234732697364,5.8678660556846576e-05,0.00021296231527692926,0.00033034453868523335
-,-0.0009447857602429433,0.001619518585613278,-0.00021162906311291622,-0.00017634475945207275,-0.00017634475945203765,-0.0001763447594519192,-6.238888125857119e-05,-0.0016531709317016419,0.0001763447594519768,-0.00023272682853232255,0.00017634475945186665,-0.00022030447040382375,-0.00025953970274138747,-0.00017634475945204332,-0.004347033371865466,-0.0004598679894926771,3.272181281708175e-05,-0.0006661511061767456,0.988999052371087,-6.459956718457736e-05,-0.00029468930881206576,0.00013716021498420242,-0.0001666496878921376,-0.0002137881332319619,-0.0001763447594523439,0.004420807986495183,-0.00017634475945191348,0.0007337561355847222,4.040029073513221e-05,0.00016053427917949998,-8.647369417684041e-05,-0.0003791714982368882,-0.00017634475945202808,-0.0005085933543984853,-0.00017634475945190706,0.00017634475945204952,0.00017634475945201442,0.00017634475945193292,0.0003193999952598686,-0.000612732814236086,-0.00025540882694422424,-0.000868972781975977,0.0003539066048461396,-0.00021787284233250627,-0.0017460562794628484,0.005186440837962852,-0.00024072715019351983,0.00012180260335325132,0.0001811183964260398,2.9660786289901282e-05
--,0.000431847618762164,-0.0005822625138811168,-0.0006014358191778511,-0.0004342175136493502,-0.00043421751364937285,-0.00043421751364936467,-0.0005535200912367373,-0.00043032507792691135,0.000434217513649384,-0.0004314313646759726,0.0004342175136493635,0.0004316095450283997,0.0003987135317723362,-0.0004342175136493836,-0.0009715726811987955,0.00043859325533702115,0.0004239093451722985,-0.0002928125914454517,-0.0005066860464924784,0.0005126709627713745,-0.0004692714085862901,-0.0004553358978632443,-0.0004341055277650288,-0.0005326852210112597,-0.00043421751364932135,0.0004888982304070306,-0.00043421751364935583,-0.00045136237279541934,0.0004347460730764233,-0.0004185616285734369,0.00042102360678818065,-0.00043281062454626903,-0.00043421751364936494,0.00044309221805086666,-0.00043421751364936206,0.0004342175136493691,0.0004342175136493503,0.0004342175136493687,0.000549633050985637,-0.0005020382146377808,-0.0006153574232070171,-0.00045424374637477346,0.0005847391373590069,-0.0005444115118295488,-0.00046262396306560584,-0.0003392444471303843,-0.00042836583819247734,0.0004915166938858527,0.0004349153218511001,0.00046304032020775036
.,-0.9897977551780163,-0.00039513293983381437,-0.0005857856254306987,-0.00019610114600429796,-0.00019610114600435163,-0.00019610114600424205,-0.0010497314959989137,-0.0036159815834963804,0.0001961011460042565,0.001515605443302693,0.00019610114600430686,0.0010593897696030002,0.0004138387304250604,-0.0001961011460042559,0.0013958330729007817,0.0002312354331911251,-0.0011126244136017852,-0.0034568440285889096,-0.0010259369636876027,0.0012015992749429688,-0.0022580237603770474,-8.535942597935869e-05,-0.00017675254578065208,-0.0002537883796782676,-0.00019610114600294168,-0.0004509963375406989,-0.0001961011460043172,-0.001056783191804328,-0.0036254224294298455,-0.0003572846389733233,0.00034142654816772533,-0.0003811706744722646,-0.00019610114600443132,0.0004900710847284525,-0.00019610114600427704,0.00019610114600438082,0.00019610114600423064,0.0001961011460043685,-0.009549231943868017,-0.005441677551541131,-0.0003196408785344525,-0.0026724049777839057,-0.0002972456330925313,-0.0002430944252876082,-0.0028504790484091547,0.006093541050669421,3.31760027403212e-05,-0.000670703721888535,0.00021067921645049763,-0.00012565256977550843
..,0.000431847618762164,-0.0005822625138811168,-0.0006014358191778511,-0.0004342175136493502,-0.00043421751364937285,-0.00043421751364936467,-0.0005535200912367373,-0.00043032507792691135,0.000434217513649384,-0.0004314313646759726,0.0004342175136493635,0.0004316095450283997,0.0003987135317723362,-0.0004342175136493836,-0.0009715726811987955,0.00043859325533702115,0.0004239093451722985,-0.0002928125914454517,-0.0005066860464924784,0.0005126709627713745,-0.0004692714085862901,-0.0004553358978632443,-0.0004341055277650288,-0.0005326852210112597,-0.00043421751364932135,0.0004888982304070306,-0.00043421751364935583,-0.00045136237279541934,0.0004347460730764233,-0.0004185616285734369,0.00042102360678818065,-0.00043281062454626903,-0.00043421751364936494,0.00044309221805086666,-0.00043421751364936206,0.0004342175136493691,0.0004342175136493503,0.0004342175136493687,0.000549633050985637,-0.0005020382146377808,-0.0006153574232070171,-0.00045424374637477346,0.0005847391373590069,-0.0005444115118295488,-0.00046262396306560584,-0.0003392444471303843,-0.00042836583819247734,0.0004915166938858527,0.0004349153218511001,0.00046304032020775036
...,0.000431847618762164,-0.0005822625138811168,-0.0006014358191778511,-0.0004342175136493502,-0.00043421751364937285,-0.00043421751364936467,-0.0005535200912367373,-0.00043032507792691135,0.000434217513649384,-0.0004314313646759726,0.0004342175136493635,0.0004316095450283997,0.0003987135317723362,-0.0004342175136493836,-0.0009715726811987955,0.00043859325533702115,0.0004239093451722985,-0.0002928125914454517,-0.0005066860464924784,0.0005126709627713745,-0.0004692714085862901,-0.0004553358978632443,-0.0004341055277650288,-0.0005326852210112597,-0.00043421751364932135,0.0004888982304070306,-0.00043421751364935583,-0.00045136237279541934,0.0004347460730764233,-0.0004185616285734369,0.00042102360678818065,-0.00043281062454626903,-0.00043421751364936494,0.00044309221805086666,-0.00043421751364936206,0.0004342175136493691,0.0004342175136493503,0.0004342175136493687,0.000549633050985637,-0.0005020382146377808,-0.0006153574232070171,-0.00045424374637477346,0.0005847391373590069,-0.0005444115118295488,-0.00046262396306560584,-0.0003392444471303843,-0.00042836583819247734,0.0004915166938858527,0.0004349153218511001,0.00046304032020775036
