,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Comp 32,Comp 33,Comp 34,Comp 35,Comp 36,Comp 37,Comp 38,Comp 39,Comp 40,Comp 41,Comp 42,Comp 43,Comp 44,Comp 45,Comp 46,Comp 47,Comp 48,Comp 49,Comp 50
!,0.013761751250869987,-0.003948276300341414,-0.0007990891116787914,-0.0022955863053230035,-0.01502174612882302,0.0024257829975214027,-0.012905373049945884,-0.008053846361289517,-0.006552204495546789,0.006520097742673739,-0.032141387556558314,-0.006789806423323448,0.005268470615892118,-0.0010820392649624946,-0.0015187775111619312,-0.0078117442090016136,0.0038669333870817663,-0.005920545977399412,0.006209180881273677,-0.004167632951745218,-0.00997825184323822,-0.002863434621398565,0.010800927774475232,-0.007974767109595975,-0.8898391608271676,-0.006713786980137043,-0.0010832392012513799,0.00341020609193499,-0.005557831041387775,-0.007333357681482794,0.008136524846968267,-0.01085551798871037,0.01787960483751634,0.003764274860150853,-0.007176998894686628,-0.026448937713572443,-0.018612693116508865,0.002475894437419424,0.008496307279650181,-0.0035155007359081976,-0.0033554158683300403,0.0024536986839551137,0.0077001721339927075,-0.019760568816662705,-0.006833450801486813,-0.0027928539773373964,-0.012760272526293838,-0.002925510660790857,0.008584555419595234,-0.009801706848220883
#,-0.002274343079709064,0.004253740054203224,-0.013851449588632724,-0.015367665193779736,-0.02831919479336938,-0.005784674963871132,-0.01054277666201566,0.012762853368072117,0.03386307225204263,-0.009189993339135758,-0.00294761777246157,-0.010286479031566084,0.00036269810587917723,-0.004917130449845313,-0.0064987980907132,-0.010631082976768763,-0.014891444889097199,0.010989199584754472,0.0006744106307016058,0.004353650396208971,0.002248423811432051,-0.011543050992417198,-0.00595292651340908,-0.00801872808104881,0.006732787990698862,0.002779350535284837,-0.006680649085970127,-0.016466177580185416,0.013020631716126049,-0.005543957514581965,-0.0022903580182710524,0.023397567861272627,-0.012499789679470609,-0.024952753886354453,0.7993454420585868,-0.039209657340562046,-0.0041100229867796,-0.024519840842007198,0.009976129441803289,-0.013270658364189326,0.015439840177148575,-0.08139934347266656,-0.006229033471140632,-0.01588429340801492,-0.008249361973434025,-0.018088142583167245,0.0008498287493432302,-0.011578501602757321,0.03627213979425966,0.005614398260235875
(,0.0027991694530286795,-0.006327543112707908,-0.013080954016002483,-0.011477239939784622,0.004152520681449679,-0.000325803987531053,-0.004764353888939547,-0.007424276422000252,0.012952747510503803,0.016804194014144205,-0.004822169129093223,0.0005427010882906539,-0.0005497625785878119,0.09849070586557832,-0.014587076854962605,-0.0049703089021736644,-0.007224531281497491,-0.004339657212105381,-0.0002365845802128788,0.06897244364166631,0.004612498558265935,0.5564559715193896,0.003993236452361703,-0.0035765325023638817,0.003149650023558318,-0.007612980823981595,0.006486655672382057,0.00549327519472491,-0.008432500504992951,0.0006256435093656542,0.01187765127368913,-0.01803336483588748,-0.005161554509088654,-0.008409603748687319,-0.0009249470660893308,0.010803670630304487,-0.0048126686819995705,-0.02402823975070542,-0.00399165014509358,0.0029425705953622606,0.01111849587162646,-0.008693656434654423,-0.0010764515504301866,0.0008810280193711422,0.0004198219026829812,-7.763174624556869e-05,-0.00302710019990818,0.006626175640026438,0.002552168765241906,-0.012469952454054672
),0.005275436928442031,-0.0033477388395409175,-0.016418045591003825,-0.008698486627669973,0.00366327554723371,-0.0017501710650201017,-0.006784791714389325,-0.009158407051606464,0.01218529604548678,0.015621809293627189,-0.004687657317961535,0.0015048752452604128,0.00035294206658777194,0.10034403554946633,-0.012429073705059617,-0.004521377475039221,-0.00882473431521255,-0.004786612056142878,0.003403710746951973,0.08527203074412895,0.003381267135805334,0.5597152163746206,0.0034014577945901533,-0.001805550889227684,-0.0010786775367932404,-0.006108353188482419,0.005568147080976583,0.004157151047859654,-0.007530663247024555,0.0008100620118183539,0.012546340859167712,-0.019531434844519007,-0.0026268052047826035,-0.009428501215625296,-0.0015383704549558116,0.01105220847789589,-0.004215188046439179,-0.023928883075529508,-0.0043808756535950255,0.006389421109803667,0.009398922546668373,-0.00589135689819088,0.0027840466740561764,-0.00023549582746301874,0.0007483971985009739,-0.0001669164367128313,-0.004883180275088464,0.018248257664636412,0.0005493115342424428,-0.011491390515291421
",",0.015465844073135587,0.07525996366928328,0.02207588706969245,-0.07442965219061946,0.020179561811504623,-0.018595389998717023,-0.11606033937165999,0.1424204222081081,-0.03712310146102768,0.007112123397703812,0.011350683456303965,0.13209856898988093,-0.04059857487008649,-0.004551247729557022,0.04644413240215384,-0.012149269662965412,0.040288567310268544,-0.19921368867968411,-0.055977739498189114,-0.0025868592414493175,0.0075673786333233075,0.0009279964990806918,-0.003869497276320709,-0.0048226239693482595,-0.011982889063722435,0.012141018613835446,0.023423165068648614,0.019853855421391748,0.07018311494450169,-0.01711032647893949,0.020624385513647526,0.030868792961081765,-0.01594972969668104,0.04290383373071692,0.0354799730068335,0.01758515900170566,0.00820591897300175,0.003996546085478571,0.12856160968697994,-0.1530774513911053,-0.04688352997200767,0.028131746406894656,0.009041799331233471,0.34006557726712255,-0.004771686859016898,0.03461304273266778,-0.05647242688837302,0.19477289201532227,0.025500438915578193,-0.040644513066229196
-,0.0017259293430308947,0.4850818795735859,0.04181755723229473,0.3281070167064597,0.026955846300072733,0.047326585115242806,0.03600623215492797,-0.15375733717069867,0.06149075950171312,0.01688446507657589,0.026614675458784362,-0.002397420949793856,-0.010874619962048972,-0.015393127321895808,-0.03165204805990324,0.03263340834209273,0.014163255772046015,-0.052788814631183296,0.18235121665165144,0.002701994021845399,0.014524797794515116,0.0009088758013537515,-0.010645496268473827,-0.0072399152895304235,0.0025086455846437842,0.0009365442189507821,-0.06549088393595179,0.04740486532924451,-0.029935832686856782,0.006545623899320234,0.02429359323318134,-0.021590359325526665,0.016639178022577698,0.02033937673754492,0.008718926004300031,0.0530260149329522,0.005016477766249349,-0.07192644854037217,-0.00954528427014161,0.01125633756309114,-0.010251868400254618,0.000861517854441995,-0.011412812511996407,-0.018524397672331078,0.0006574190917184655,0.013822073232533521,0.051144134845361885,0.07427521030736152,0.1122655228307384,-0.11644440593418032
--,0.05116320012801183,-0.047622340624097564,0.0126212055456294,-0.043452406593563656,0.0004883812702371408,-0.009300200521342686,-0.02323181343217933,0.030628740487168096,0.03368429042278541,0.013112667265678769,0.010929034115281672,-0.02372088979412379,-0.026989237035883448,-0.01819121374712587,-0.021301809023751138,-0.019859574972557244,0.016612711795814028,-0.0339253948871535,0.06525392025356622,-0.011305700618233248,-0.016748735122302925,-0.011569371643806005,0.03632802672763404,0.0038123215171112787,0.00919973804652751,-0.03740502272948912,-9.752110318940704e-05,0.02460590672787403,-0.008217687740877335,-0.0032358719842755005,0.04137697871446035,0.001977723034778845,-0.00941102787776445,-0.0025301429988412137,-0.0218666422786152,0.0034730489068358814,0.018185790986273074,0.027548699398958078,-0.01702905809516734,0.0008017812102034351,-0.008290691150176293,-0.003827203291060205,0.015694710080793324,0.14171163140212195,-0.02944761426591265,-0.046933148483368506,-0.010618991625987739,0.012642179026133966,0.029169370169251654,-0.0022350327054514417
.,-0.09155806759486734,-0.06283361069087655,-0.0068334247704089635,0.12120451048201056,0.020388843114620955,0.0434648318891811,0.011098725406618572,0.04478574877443729,-0.23150012611368612,0.011420986731405356,-0.08945316253560984,0.2571178077937819,-0.006898954104589065,0.010191498205658159,0.011880010267368964,-0.09272117756203509,0.011839096354439868,0.10079608684180522,0.05065971981496606,0.0766878282541428,-0.018153909591119472,0.010474337053122014,-0.019471737957071886,0.06454607933856536,0.010657880096338281,-0.03492548847820021,0.04584013396506343,-0.015262116467137184,0.0035013935887894714,-0.014090564411250787,0.016973419457878905,0.012507224086208187,-0.07070257774595108,0.03648043993138821,0.011682102885847846,-0.24547317426734844,-0.0034486166888948776,0.07726947565645789,0.04439273320351898,-0.12275911454837751,0.0126624187773034,-0.0035258934130924183,0.04068530128458744,0.03909044334708586,-0.028794309669634605,0.03339794605562971,0.0008900269046935132,0.01007568663273729,0.02010159080069175,-0.12124779282020479
..,0.0024050101916991765,0.002641135857069744,-0.0008705322087092248,-0.0067995815388890695,0.0021219519599964616,-0.0004887948435847634,0.00048702450787449427,-0.007260992862398468,0.001346029859775506,-0.02762944710018142,-0.0005322687674910507,0.008651977624052426,-0.0025881860217199367,-0.0007888837707888053,-0.004881628542152263,0.0024590183860301908,0.002971290253813824,0.0033644323678940664,0.01072746850844664,0.009789776870486098,-0.0036629349095942355,-0.0012062302292856983,-0.0024114683339281143,-0.0010152615355736604,0.0019012616074887876,0.001473409788835367,-0.003239191150411528,-0.0023510772730224987,-0.0012884800549625682,-0.001556124217167533,-0.006906891306626868,-0.008075442042346254,-0.0005715477518828146,-0.002292797634630089,-0.003612369383501935,0.0032202787534273583,-0.030199316024251598,0.0098092289191427,-0.002740358134313385,0.009685921892052654,-0.0035113619373850543,-0.0011672172605371573,-0.005649983927495319,-0.003180976937814432,0.0049501493257360744,0.000726655205372497,-0.004569782173834203,0.0012384858816814098,-0.0013747193688247777,0.0022066138610624267
...,0.02634490086691829,0.009543247566737894,-0.04987918579208167,0.04469455528811872,-0.002959081320626063,-0.004202965329082777,-0.019338549360916404,-0.006574746415458228,0.025496189073985504,0.03296355049952464,-0.040883429120594686,-0.011370215489267914,-0.0057382251059410715,-0.02499038499753423,-0.0781011803701828,0.005363757171848503,-0.008570680913586533,-0.010309386503308177,0.007571981031673114,-0.011404236543905278,-0.05221779950313435,0.028973786776328142,-0.011119212099615843,0.06286362151549299,-0.03328882238042437,-0.007609667749466035,-0.02176377017001304,0.022479285645622557,-0.009599185192159328,-0.09550637837606948,0.05440466335659276,0.03228651849609009,0.03270303303524017,0.00017338827999609186,-0.023962979220906046,0.023471975392071083,0.01301188335042533,0.04158734199648379,0.0003540517110252945,-0.060771496203416916,0.014918762504321623,-0.0008858659560210659,0.029529825387238334,-0.0221864640821495,-0.010467195432086907,-0.04224708584447162,-0.016429073216077617,-0.0435178955666745,0.011490741518884602,-0.05719789363002481
