,term1,term2,cos_sim
0,<START>,<END>,0.9713016182926348
1,laugh,vacation,0.8873007638267979
2,<START>,coronavirus,0.8583360495133483
3,<END>,coronavirus,0.8413200022533653
4,laugh,wash,0.8269497848482797
5,book,vacation,0.8103243929616515
6,wash,vacation,0.745475249685993
7,cnbc,vacation,0.666976063280201
8,laugh,book,0.6319080411884158
9,wash,hand,0.597368159726218
10,back,vacation,0.5244108686803888
11,vacation,advice,0.5187708568222381
12,cnbc,book,0.5152017746236283
13,laugh,cnbc,0.5116238971635236
14,wash,book,0.5010505505128461
15,laugh,hand,0.46706621109927393
16,hand,vacation,0.4626723687428217
17,vacation,look,0.39512593909337934
18,laugh,back,0.3858027265687757
19,book,back,0.3770029325234423
20,cnbc,wash,0.37063865931932927
21,laugh,advice,0.3617639146133047
22,book,advice,0.3463848479449064
23,hand,advice,0.32350104639388444
24,back,look,0.30254553520245053
25,cnbc,back,0.30135865092861336
26,book,look,0.2808967063980359
27,laugh,look,0.28037263014909186
28,vacation,flu,0.27835555345733587
29,cnbc,advice,0.26373705011328863
30,cnbc,look,0.24615156649734438
31,wash,back,0.24352377790559
32,wash,advice,0.24176848670492235
33,book,hand,0.2375276750590578
34,:,coronavirus,0.2216352201094578
35,cnbc,hand,0.22117483562638274
36,laugh,flu,0.2151804325747806
37,<START>,:,0.20902987694264885
38,coronavirus,’,0.19645073417212278
39,:,<END>,0.193818459043264
40,.,coronavirus,0.19063225486900637
41,back,advice,0.1873740586201177
42,wash,look,0.181125245173278
43,hand,look,0.17517001557310508
44,advice,look,0.17104953849300353
45,book,flu,0.16947083351132775
46,.,<START>,0.15233964378138376
47,.,<END>,0.14896973045049045
48,<END>,’,0.14888623294863645
49,wash,flu,0.13628451793956586
50,<START>,’,0.13335344936965432
51,cnbc,flu,0.13105216663917085
52,laugh,.,0.1278737111286803
53,back,hand,0.12076132644107207
54,.,’,0.10632719838485283
55,back,flu,0.10617163372857874
56,.,vacation,0.10478946218810936
57,wash,’,0.09901335329150518
58,flu,advice,0.0927176489494661
59,advice,:,0.08981344466418983
60,:,’,0.08277028942172382
61,laugh,’,0.0799619738224866
62,.,:,0.07396319277414465
63,look,:,0.07085325375957385
64,book,coronavirus,0.06575565495628877
65,.,book,0.05943915824598589
66,.,wash,0.054416287516968476
67,vacation,<START>,-0.04867537135078348
68,vacation,<END>,-0.047810658775658155
69,flu,look,0.046895316533330345
70,vacation,’,0.046159220076243956
71,wash,<START>,-0.04608484959412529
72,.,cnbc,0.04470394649106768
73,laugh,<START>,-0.04411919342348147
74,wash,coronavirus,-0.043161916809766554
75,hand,flu,0.041147120927229164
76,.,flu,0.0406061264663401
77,hand,:,-0.039358913212545144
78,wash,<END>,-0.03840535320693195
79,laugh,<END>,-0.037731131531050455
80,look,’,-0.03720285353586417
81,laugh,coronavirus,-0.036606597020354625
82,cnbc,<START>,-0.03260822378761574
83,look,coronavirus,0.03239762804820945
84,flu,’,0.030515382900648702
85,book,:,-0.027538334641747264
86,<START>,look,0.026794421233756194
87,hand,’,0.026470153386583206
88,flu,:,0.02626176960455895
89,hand,<END>,-0.02499195959063205
90,book,<END>,0.024788231782618464
91,advice,<END>,-0.022700228733551597
92,book,<START>,0.02266496431176046
93,wash,:,-0.022284646213486248
94,cnbc,<END>,-0.022266954183561616
95,book,’,0.021355530786436705
96,vacation,coronavirus,-0.02128684778931622
97,.,hand,0.0195734606386625
98,back,coronavirus,0.018161936968609793
99,cnbc,’,0.01783938347905223
100,.,look,0.017732754571153087
101,advice,’,0.017501203417579658
102,hand,<START>,-0.01739191583889399
103,cnbc,:,0.013946051218065358
104,vacation,:,0.012945279435795154
105,look,<END>,0.010155089926776939
106,back,<END>,0.007741520078412223
107,advice,coronavirus,0.0075225024413946295
108,back,:,-0.007379040429047912
109,<START>,advice,-0.007323302345164873
110,.,back,0.007166430831476833
111,.,advice,0.00446183415751622
112,back,’,-0.003786479031143708
113,laugh,:,0.0033672417002295063
114,hand,coronavirus,0.0033029686681358417
115,cnbc,coronavirus,-0.0025525451964012458
116,flu,<END>,-0.0020808664285940637
117,back,<START>,-0.0018666069420991693
118,flu,<START>,0.001135428049188425
119,flu,coronavirus,0.0006351412208260854
